iter	Logloss
0	0.6866918716
1	0.680758969
2	0.6758105441
3	0.671770466
4	0.6674304546
5	0.6639634946
6	0.6609972015
7	0.6584116418
8	0.6560726367
9	0.6537679776
10	0.6517754391
11	0.649334979
12	0.6478799463
13	0.6462356944
14	0.6450191839
15	0.643968982
16	0.6426210627
17	0.6419385759
18	0.6411347704
19	0.639953041
20	0.639121656
21	0.6384883535
22	0.637370172
23	0.6368286301
24	0.6360947827
25	0.6353712628
26	0.6350076234
27	0.6344899416
28	0.6340362035
29	0.6334812081
30	0.6329833109
31	0.6321809299
32	0.6317541778
33	0.6310824142
34	0.6308728566
35	0.6306621515
36	0.630414568
37	0.6301474374
38	0.6294033812
39	0.6291591611
40	0.6288517888
41	0.6286970343
42	0.6281654242
43	0.6276010906
44	0.6271775436
45	0.6267943174
46	0.6264253757
47	0.6262821358
48	0.6259653461
49	0.6257950805
50	0.6256000447
51	0.625174361
52	0.6250761506
53	0.6248897804
54	0.6247776814
55	0.6245300979
56	0.6244331537
57	0.6241591777
58	0.6239208138
59	0.6235866533
60	0.6233825562
61	0.6230284924
62	0.6228696623
63	0.6226329207
64	0.6222098881
65	0.6221117965
66	0.6220153271
67	0.6217906541
68	0.6217175306
69	0.6216340399
70	0.6215238005
71	0.6214617563
72	0.6211869889
73	0.6209921509
74	0.6209040702
75	0.6208360906
76	0.6205917914
77	0.6203104555
78	0.6202507063
79	0.6198080079
