iter	Passed	Remaining
0	67	4659
1	124	4237
2	188	4215
3	243	4022
4	300	3910
5	356	3801
6	414	3732
7	474	3673
8	531	3605
9	591	3549
10	653	3504
11	718	3472
12	780	3420
13	841	3366
14	906	3324
15	968	3269
16	1031	3216
17	1092	3156
18	1154	3099
19	1225	3064
20	1287	3003
21	1349	2943
22	1418	2899
23	1481	2839
24	1543	2778
25	1614	2731
26	1676	2669
27	1736	2605
28	1806	2554
29	1868	2490
30	1928	2426
31	1997	2371
32	2057	2306
33	2118	2243
34	2188	2188
35	2251	2126
36	2312	2062
37	2382	2006
38	2439	1939
39	2499	1874
40	2567	1815
41	2627	1751
42	2687	1687
43	2754	1627
44	2814	1563
45	2874	1499
46	2941	1439
47	3001	1375
48	3061	1311
49	3129	1251
50	3188	1187
51	3247	1124
52	3314	1063
53	3372	999
54	3433	936
55	3502	875
56	3561	812
57	3620	749
58	3688	687
59	3749	624
60	3810	562
61	3874	499
62	3932	436
63	3992	374
64	4058	312
65	4116	249
66	4172	186
67	4239	124
68	4300	62
69	4360	0
