,client_id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
0,655ad82e-4d0f-41ab-bb74-11bd846f1dbe,56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
1,b343ab3b-4161-4207-a773-96ea68d89c56,57,services,married,high.school,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
2,43058027-a095-4c90-a64f-ea3aa0b0153b,37,services,married,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
3,14837241-250b-4734-8258-d1735d0d577b,40,admin.,married,basic.6y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
4,e823ca14-2b39-476a-8551-fa80702a379d,56,services,married,high.school,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
5,0d935ade-7d56-4caf-b6d5-aa7648c8430b,45,services,married,basic.9y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
6,f5761c5f-5085-4f25-992c-531cb9c4425b,59,admin.,married,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
7,d820013a-5e15-44eb-9930-5bc701a988df,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
8,e23fd472-298f-409e-8f79-2e8c70d551e3,24,technician,single,professional.course,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
9,6fbac707-db5f-4775-be26-e6b101fefb5d,25,services,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
10,3fa28402-bc5b-486f-943c-27cc62d82fd6,41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
11,36889506-2746-438d-9b4c-fae9f696d775,25,services,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
12,4aaa9034-12b6-47aa-aff5-39fd97cee544,29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
13,3697db09-db59-420e-b4ee-b9b21b493f5e,57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
14,e0062796-a400-4e08-a1d5-c79cc2e55a02,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
15,7bcd7df7-0b58-4ffb-b06d-d76d92f81a7a,54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
16,9ac51c2b-792e-4b00-bd43-626aa4184c4e,35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
17,e288a84e-bae4-4149-9733-24a451ade674,46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
18,0a2c40fd-e2e9-48a5-bf63-d3daa3418e1e,50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
19,ac05a42f-be96-4da3-99c8-d22dd2dee749,39,management,single,basic.9y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
20,acfe025d-fd11-4288-afe4-af4b7fc75015,30,unemployed,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
21,5206c110-f5b7-4b2b-bdab-eb823856c791,55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
22,ad9dee00-7003-4e37-848e-0d19b120222a,55,retired,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
23,a4bf84b1-a55b-46a7-b22a-aa36d6eea315,41,technician,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
24,a84484cc-e34b-453f-ba8b-367c5ffec62d,37,admin.,married,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
25,21982c97-7027-43a8-a6f6-d53283c692a5,35,technician,married,university.degree,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
26,b744ecac-bff5-473b-9524-af737494fcba,59,technician,married,unknown,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
27,b73be03f-3cf1-49e1-80c1-e88d64b4f4e6,39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
28,cb912a5f-c66e-4320-bc69-8246fdd5ee75,54,technician,single,university.degree,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
29,ba0fdb12-1b43-45e3-9da1-69105a534f7e,55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
30,fcaee6ea-6405-4582-a6a4-419a836d2c3c,46,admin.,married,unknown,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
31,10bbac39-9bd0-4c0d-907c-1c5260113103,59,technician,married,unknown,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
32,410422ec-37d1-4e4d-a076-72207ff3ceee,49,blue-collar,married,unknown,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
33,6fdf0b33-78fb-4159-add9-8bc1948bd4cf,54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
34,3760733a-513c-4d41-a87a-9a5ee73a5862,54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
35,13af9f80-650b-4a7a-9917-c053a5409bce,55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
36,730ccdf3-6985-4152-8ae5-449aec89da37,34,services,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
37,2c91f4b9-b636-49b7-9d06-c9a0a9b4fd26,52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
38,14a9564a-3f44-454f-afb9-3622778cb3af,41,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
39,37d8c118-6f7c-4756-b51f-773dec44e6d8,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
40,41ae9e09-19b0-4f0e-90ee-86e145a0ff37,58,management,unknown,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
41,867117c7-8c07-4180-bb84-9fef158a72d6,32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
42,65b4f87c-a5ae-4312-9dd9-4e41825c0a1c,38,admin.,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
43,edba4c7f-1907-406d-b2db-7b0ac8c81fb2,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
44,a1a84a7c-90a4-4017-b247-333f59067ce0,44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
45,f2592ddd-8981-451a-929c-e9e355a78327,42,technician,single,professional.course,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
46,9218b94a-7f0e-4d09-a97d-d8243e96b5ef,57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
47,9a47f0cb-d733-4ac4-9027-efbd568b71f8,40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
48,95f075b7-bff5-431d-8189-62481880e4be,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
49,6da4822d-9fa7-4cb4-a1b6-f840a71318ea,45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
50,da16ac9a-a3b7-41b4-9db0-090370acdec6,54,admin.,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
51,aadcf012-93bb-47f5-aea1-467f57224b1e,39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
52,4773c746-bd5e-4cfd-8242-58ed7f42fa7e,60,admin.,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
53,af35c825-55b8-40e5-88e8-9dee5a9a29f0,53,admin.,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
54,657d9a12-b0b1-4f77-8e53-6e17f45fa282,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
55,0f76e4e7-e90a-4b94-997d-f2dfd4185b2e,55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
56,9de44da2-ff37-40a2-8c37-ceb19fd80b3f,50,management,married,university.degree,unknown,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
57,66caf223-843f-45b2-9b81-6b92aeedc19b,45,services,married,high.school,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
58,74036d74-6aba-4163-a91f-f36efe74625b,55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
59,fc718ffe-d43c-4c35-9980-7a75d5c3aa45,25,technician,single,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
60,01bfb227-d791-433f-98ae-e080c87d6226,47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
61,4b6eaf5f-321e-4310-b3bd-33e5dfb2688f,51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
62,2cc08ef2-ef1a-43de-baea-63096fcde68d,42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
63,4368f222-81c4-4c48-9834-a91b4e68d1d3,42,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
64,277da72d-3ecc-405e-8682-5d1919a59084,48,admin.,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
65,204f5d32-5993-448a-a890-8ac2a2b181b4,37,admin.,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
66,a907af85-45ef-46c5-b506-3ac454800e38,44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
67,b7c08512-413c-4f45-86ae-f7d61d12912d,33,admin.,married,unknown,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
68,19dd28ea-0d99-4e28-8a40-70c63904361b,56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
69,78c7d49c-a42c-43e3-bb88-b6f56a432cbf,44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
70,248e116f-7f3d-435f-8f0c-c62fb5ffd2c3,41,management,married,basic.6y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
71,bf14fc65-cc52-4e00-b4e4-7ad59ea3e36a,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
72,7d35f60c-df7a-49aa-964f-13c445b03588,47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
73,5eaed53f-1a46-4537-9560-de339a700728,57,unknown,married,unknown,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
74,f0ce51df-f344-4850-8bf3-4add84ee1471,37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
75,b8c4e56a-9158-46a9-91f7-e5112b7c1686,41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
