order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2539329,1,prior,1,2,8,
2398795,1,prior,2,3,7,15.0
473747,1,prior,3,3,12,21.0
2254736,1,prior,4,4,7,29.0
431534,1,prior,5,4,15,28.0
3367565,1,prior,6,2,7,19.0
550135,1,prior,7,1,9,20.0
3108588,1,prior,8,1,14,14.0
2295261,1,prior,9,1,16,0.0
2550362,1,prior,10,4,8,30.0
1187899,1,train,11,4,8,14.0
2168274,2,prior,1,2,11,
1501582,2,prior,2,5,10,10.0
1901567,2,prior,3,1,10,3.0
738281,2,prior,4,2,10,8.0
1673511,2,prior,5,3,11,8.0
1199898,2,prior,6,2,9,13.0
3194192,2,prior,7,2,12,14.0
788338,2,prior,8,1,15,27.0
1718559,2,prior,9,2,9,8.0
1447487,2,prior,10,1,11,6.0
1402090,2,prior,11,1,10,30.0
3186735,2,prior,12,1,9,28.0
3268552,2,prior,13,4,11,30.0
839880,2,prior,14,3,10,13.0
1492625,2,train,15,1,11,30.0
600894,8,prior,1,6,0,
2979257,8,prior,2,1,8,30.0
2570360,8,prior,3,5,0,30.0
880375,8,train,4,1,14,10.0
611214,24,prior,1,3,20,
1869748,24,prior,2,6,16,3.0
1511050,24,prior,3,3,21,30.0
2877797,24,prior,4,6,10,24.0
118133,24,prior,5,0,11,30.0
816714,24,prior,6,6,8,13.0
1415679,24,prior,7,0,8,15.0
3064712,24,prior,8,1,20,8.0
1640680,24,prior,9,1,8,30.0
3354579,24,prior,10,5,17,18.0
3320181,24,prior,11,4,14,6.0
2126098,24,prior,12,5,16,22.0
2586085,24,prior,13,2,11,11.0
1103927,24,prior,14,6,8,4.0
1368577,24,prior,15,0,10,15.0
2635041,24,prior,16,0,9,7.0
196008,24,prior,17,0,20,14.0
173172,24,prior,18,0,16,14.0
965160,24,train,19,0,16,0.0
252244,41,prior,1,6,16,
2111787,41,prior,2,2,20,24.0
2838655,41,prior,3,0,13,30.0
2196695,41,prior,4,1,12,22.0
3083886,41,prior,5,0,19,27.0
2032076,41,train,6,0,20,30.0
1035233,48,prior,1,6,16,
3166874,48,prior,2,5,13,27.0
2766710,48,prior,3,6,9,15.0
501067,48,prior,4,5,12,27.0
1643524,48,prior,5,6,10,29.0
1657641,48,prior,6,5,9,27.0
749250,48,prior,7,6,11,29.0
795269,48,prior,8,6,11,14.0
3067391,48,prior,9,5,18,13.0
555834,48,prior,10,5,22,14.0
2924697,48,train,11,5,18,14.0
1363380,50,prior,1,3,9,
3131103,50,prior,2,6,12,10.0
2197066,50,prior,3,1,13,9.0
3201640,50,prior,4,0,11,6.0
2756806,50,prior,5,4,14,11.0
1905727,50,prior,6,2,10,5.0
357849,50,prior,7,3,13,8.0
1673791,50,prior,8,6,14,3.0
1941871,50,prior,9,4,11,5.0
1431607,50,prior,10,2,10,5.0
935755,50,prior,11,6,9,4.0
771250,50,prior,12,3,18,4.0
218647,50,prior,13,6,14,10.0
482971,50,prior,14,4,11,5.0
1261865,50,prior,15,2,10,5.0
2102570,50,prior,16,1,8,13.0
1856643,50,prior,17,2,15,8.0
2199859,50,prior,18,1,10,6.0
505360,50,prior,19,3,11,2.0
2829245,50,prior,20,1,10,5.0
1077695,50,prior,21,1,13,14.0
3067010,50,prior,22,1,12,7.0
458687,50,prior,23,6,17,5.0
536094,50,prior,24,3,10,4.0
886814,50,prior,25,2,11,6.0
1291785,50,prior,26,1,13,6.0
1182191,50,prior,27,5,7,11.0
2333885,50,prior,28,2,10,4.0
3112215,50,prior,29,3,11,1.0
3276486,50,prior,30,3,12,7.0
2870447,50,prior,31,2,11,6.0
623555,50,prior,32,2,12,7.0
2443843,50,prior,33,5,7,10.0
867561,50,prior,34,0,22,2.0
2049647,50,prior,35,4,11,4.0
2981401,50,prior,36,1,11,4.0
2425696,50,prior,37,4,15,3.0
1177903,50,prior,38,1,7,4.0
2885215,50,prior,39,6,10,5.0
3285176,50,prior,40,3,9,4.0
1158241,50,prior,41,0,16,4.0
131991,50,prior,42,2,10,2.0
1237400,50,prior,43,6,9,4.0
3014513,50,prior,44,2,11,3.0
1368931,50,prior,45,1,12,6.0
1076291,50,prior,46,3,7,2.0
412136,50,prior,47,2,11,6.0
1939933,50,prior,48,0,10,5.0
3147929,50,prior,49,5,8,5.0
2018336,50,prior,50,1,11,3.0
1229178,50,prior,51,5,10,11.0
3044151,50,prior,52,1,9,3.0
3330597,50,prior,53,3,11,2.0
642111,50,prior,54,6,10,3.0
3205359,50,prior,55,1,10,2.0
182020,50,prior,56,0,13,6.0
636918,50,prior,57,5,12,5.0
2670599,50,prior,58,3,10,5.0
2236363,50,prior,59,1,11,5.0
2757345,50,prior,60,2,12,1.0
1915162,50,prior,61,5,11,3.0
373535,50,prior,62,2,11,4.0
3175017,50,prior,63,6,10,4.0
309687,50,prior,64,2,12,10.0
2740653,50,prior,65,1,13,6.0
2107003,50,prior,66,4,11,3.0
103726,50,prior,67,3,9,6.0
1750084,50,train,68,3,9,7.0
802141,64,prior,1,2,14,
2601258,64,prior,2,6,10,11.0
2057180,64,prior,3,1,22,2.0
2507322,64,prior,4,6,17,12.0
33681,64,prior,5,5,0,6.0
629726,64,prior,6,3,20,19.0
2302602,64,prior,7,5,20,9.0
3215917,64,prior,8,6,17,15.0
2754807,64,prior,9,6,15,7.0
3129760,64,prior,10,1,10,9.0
2639013,64,train,11,0,13,27.0
1583644,65,prior,1,0,9,
3253911,65,prior,2,0,9,7.0
1422896,65,prior,3,0,10,14.0
3003586,65,prior,4,1,13,1.0
1625976,65,prior,5,5,14,4.0
2133732,65,prior,6,6,15,15.0
1999119,65,prior,7,0,15,1.0
225812,65,prior,8,1,12,29.0
2843095,65,prior,9,2,10,8.0
3029625,65,prior,10,1,8,6.0
692225,65,prior,11,4,9,30.0
2630919,65,prior,12,4,8,7.0
2028484,65,prior,13,4,15,14.0
864720,65,prior,14,2,9,30.0
1072954,65,train,15,6,17,30.0
643818,74,prior,1,5,8,
360105,74,prior,2,5,6,7.0
1154777,74,prior,3,1,8,10.0
1386615,74,prior,4,3,7,23.0
3391303,74,prior,5,1,13,30.0
482516,74,train,6,4,7,10.0
1889835,82,prior,1,3,15,
762760,82,prior,2,0,11,18.0
499460,82,prior,3,5,10,5.0
2728456,82,prior,4,0,11,16.0
80629,82,prior,5,5,16,12.0
2653743,82,prior,6,4,9,13.0
2232529,82,prior,7,1,11,11.0
63916,82,prior,8,5,10,4.0
1358880,82,prior,9,1,10,30.0
343588,82,prior,10,2,11,1.0
2500881,82,prior,11,5,16,10.0
1493222,82,prior,12,4,19,6.0
1501349,82,prior,13,0,10,10.0
1854627,82,prior,14,4,10,11.0
3034663,82,prior,15,2,11,12.0
2222448,82,prior,16,1,8,13.0
760382,82,prior,17,1,12,14.0
147262,82,prior,18,1,13,7.0
3144004,82,prior,19,2,15,8.0
859654,82,train,20,1,10,13.0
721266,84,prior,1,4,9,
2951016,84,prior,2,1,8,30.0
1505422,84,prior,3,5,13,18.0
3178292,84,prior,4,0,14,30.0
3413579,84,prior,5,3,16,3.0
